strain	year	country	state	rflp	lineage
OR293404|USA/IA/35332/2003|2003|USA_IA|1-4-4|L1A	2003	USA	IA	1-4-4	L1A
EU756373|PRRSV0000005395|2005|USA_NC|1-7-4|L1A	2005	USA	NC	1-7-4	L1A
KU502177|PRRSV2-USA-CB646-2006|2006|USA|1-3-4|L1A	2006	USA		1-3-4	L1A
OR293405|USA/MN/39523-B/2008|2008|USA_MN|1-4-4|L1A	2008	USA	MN	1-4-4	L1A
OR293406|USA/IA/22740-41/2010|2010|USA_IA|1-4-4|L1A	2010	USA	IA	1-4-4	L1A
OR293407|USA/IA/18397-5/2012|2012|USA_IA|1-4-2|L1A	2012	USA	IA	1-4-2	L1A
KU503829|PRRSV2-USA-LS904-2013|2013|USA|1-7-4|L1A	2013	USA		1-7-4	L1A
KT904645|PRRSV2-USA-AP1958-2014|2014|USA|1-7-4|L1A	2014	USA		1-7-4	L1A
KT904878|PRRSV2-USA-AP2395-2014|2014|USA|1-7-4|L1A	2014	USA		1-7-4	L1A
MF326985|IA-2014-NADC34|2014|USA_IA|1-7-4|L1A	2014	USA	IA	1-7-4	L1A
MN498512|13336|2015|USA|1-7-4|L1A	2015	USA		1-7-4	L1A
MN500878|12233|2015|USA|1-7-4|L1A	2015	USA		1-7-4	L1A
OR293408|USA/NC/41230-1/2015|2015|USA_NC|1-6-4|L1A	2015	USA	NC	1-6-4	L1A
OR293409|USA/IA/49844-2/2015|2015|USA_IA|1-7-4|L1A	2015	USA	IA	1-7-4	L1A
OR293410|USA/IA/74466-1/2015|2015|USA_IA|1-7-4|L1A	2015	USA	IA	1-7-4	L1A
OR293411|USA/NC/74759-1/2015|2015|USA_NC|1-7-4|L1A	2015	USA	NC	1-7-4	L1A
OR293412|USA/MO/348-GA/2015|2015|USA_MO|1-7-4|L1A	2015	USA	MO	1-7-4	L1A
OR293413|USA/IA/27565-GA/2015|2015|USA_IA|1-7-4|L1A	2015	USA	IA	1-7-4	L1A
MN498961|13594|2016|USA|1-7-4|L1A	2016	USA		1-7-4	L1A
MN500454|12735|2016|USA|1-4-4|L1A	2016	USA		1-4-4	L1A
OR293414|USA/NC/4290-GM/2016|2016|USA_NC|1-6-4|L1A	2016	USA	NC	1-6-4	L1A
OR293415|USA/NC/12080-1/2016|2016|USA_NC|1-7-4|L1A	2016	USA	NC	1-7-4	L1A
OR293416|USA/IA/17031-A/2016|2016|USA_IA|1-7-4|L1A	2016	USA	IA	1-7-4	L1A
OR293417|USA/IL/21554-GF/2016|2016|USA_IL|1-7-4|L1A	2016	USA	IL	1-7-4	L1A
OR293418|USA/NE/38782-1/2016|2016|USA_NE|1-7-4|L1A	2016	USA	NE	1-7-4	L1A
OR293419|USA/NC/52464-A/2016|2016|USA_NC|1-4-3|L1A	2016	USA	NC	1-4-3	L1A
OR293420|USA/IA/64803-2/2016|2016|USA_IA|1-7-4|L1A	2016	USA	IA	1-7-4	L1A
MN498295|14419|2017|USA|1-7-4|L1A	2017	USA		1-7-4	L1A
MN500259|14233|2017|USA|1-7-4|L1A	2017	USA		1-7-4	L1A
MN501002|13194|2017|USA|1-4-3|L1A	2017	USA		1-4-3	L1A
OR293421|USA/IA/7816/2017|2017|USA_IA|1-4-4|L1A	2017	USA	IA	1-4-4	L1A
OR293422|USA/NC/12090/2017|2017|USA_NC|1-7-4|L1A	2017	USA	NC	1-7-4	L1A
OR293423|USA/IA/2371-2/2017|2017|USA_IA|1-7-4|L1A	2017	USA	IA	1-7-4	L1A
OR293424|USA/IA/11611-1/2017|2017|USA_IA|1-7-4|L1A	2017	USA	IA	1-7-4	L1A
OR293425|USA/MO/32514-1/2017|2017|USA_MO|1-8-4|L1A	2017	USA	MO	1-8-4	L1A
OR293426|USA/IN/57863-1/2017|2017|USA_IN|1-7-4|L1A	2017	USA	IN	1-7-4	L1A
OR293427|USA/MO/60435-GB/2017|2017|USA_MO|1-8-4|L1A	2017	USA	MO	1-8-4	L1A
OR293428|USA/IA/3303-1/2018|2018|USA_IA|1-7-4|L1A	2018	USA	IA	1-7-4	L1A
OR293429|USA/NC/15974-1/2018|2018|USA_NC|1-7-4|L1A	2018	USA	NC	1-7-4	L1A
OR293430|USA/IA/27380-6/2018|2018|USA_IA|1-7-2|L1A	2018	USA	IA	1-7-2	L1A
OR293431|USA/IA/34201-GE/2018|2018|USA_IA|1-7-4|L1A	2018	USA	IA	1-7-4	L1A
OR293432|USA/IN/64036-GA/2018|2018|USA_IN|1-7-4|L1A	2018	USA	IN	1-7-4	L1A
OR293433|USA/IA/46708-3/2019|2019|USA_IA|1-4-8|L1A	2019	USA	IA	1-4-8	L1A
OR293434|USA/IA/47424-1/2019|2019|USA_IA|1-4-4|L1A	2019	USA	IA	1-4-4	L1A
OR293435|USA/MO/53930-GA/2019|2019|USA_MO|1-8-4|L1A	2019	USA	MO	1-8-4	L1A
OR293436|USA/IA/81589-1/2019|2019|USA_IA|1-7-4|L1A	2019	USA	IA	1-7-4	L1A
OR293437|USA/IA/90494-1/2019|2019|USA_IA|1-7-4|L1A	2019	USA	IA	1-7-4	L1A
OR293438|USA/IA/91948-2/2019|2019|USA_IA|1-7-4|L1A	2019	USA	IA	1-7-4	L1A
OR293439|USA/NE/12645-GA/2020|2020|USA_NE|1-7-4|L1A	2020	USA	NE	1-7-4	L1A
OR293440|USA/IA/18273-2/2020|2020|USA_IA|1-6-4|L1A	2020	USA	IA	1-6-4	L1A
OR293441|USA/IA/19513-GH/2020|2020|USA_IA|1-7-4|L1A	2020	USA	IA	1-7-4	L1A
OR293442|USA/NC/20259-2/2020|2020|USA_NC|1-4-4|L1A	2020	USA	NC	1-4-4	L1A
OR293443|USA/IA/63494-GB/2020|2020|USA_IA|1-7-4|L1A	2020	USA	IA	1-7-4	L1A
OR293444|USA/IN/66096-GA/2020|2020|USA_IN|1-4-4|L1A	2020	USA	IN	1-4-4	L1A
OR293445|USA/IL/6855-1/2020|2020|USA_IL|1-4-4|L1A	2020	USA	IL	1-4-4	L1A
OR293446|USA/IN/91202-GA/2020|2020|USA_IN|1-7-3|L1A	2020	USA	IN	1-7-3	L1A
OR293447|USA/UT/93278-11/2020|2020|USA_UT|1-7-4|L1A	2020	USA	UT	1-7-4	L1A
OR293448|USA/OH/9278-GF/2021|2021|USA_OH|1-7-4|L1A	2021	USA	OH	1-7-4	L1A
OR293449|USA/IA/73735-4/2021|2021|USA_IA|1-7-4|L1A	2021	USA	IA	1-7-4	L1A
OR293450|USA/IA/32364/2006|2006|USA_IA|1-18-1|L1B	2006	USA	IA	1-18-1	L1B
OR293451|USA/IA/40635-B/2006|2006|USA_IA|1-19-4|L1B	2006	USA	IA	1-19-4	L1B
EU758838|PRRSV0000008852|2007|USA_MN|1-24-4|L1B	2007	USA	MN	1-24-4	L1B
OR293452|USA/IA/38780/2007|2007|USA_IA|1-18-4|L1B	2007	USA	IA	1-18-4	L1B
OR293453|USA/IA/17827-1/2007|2007|USA_IA|1-18-4|L1B	2007	USA	IA	1-18-4	L1B
KU503775|PRRSV2-USA-LS849-2008|2008|USA|1-26-2|L1B	2008	USA		1-26-2	L1B
OR293454|USA/MN/9206-2/2008|2008|USA_MN|1-18-2|L1B	2008	USA	MN	1-18-2	L1B
KU503489|PRRSV2-USA-LS534-2009|2009|USA|1-18-2|L1B	2009	USA		1-18-2	L1B
OR293455|USA/IA/1910/2009|2009|USA_IA|1-18-2|L1B	2009	USA	IA	1-18-2	L1B
OR293456|USA/IA/32652/2009|2009|USA_IA|1-18-2|L1B	2009	USA	IA	1-18-2	L1B
KU502325|PRRSV2-USA-CB822-2010|2010|USA|1-18-4|L1B	2010	USA		1-18-4	L1B
OR293457|USA/IA/22080-98/2010|2010|USA_IA|1-18-2|L1B	2010	USA	IA	1-18-2	L1B
KU503668|PRRSV2-USA-LS724-2011|2011|USA|1-18-2|L1B	2011	USA		1-18-2	L1B
MN500451|10958|2011|USA|1-13-2|L1B	2011	USA		1-13-2	L1B
KU502331|PRRSV2-USA-CB828-2012|2012|USA|1-26-2|L1B	2012	USA		1-26-2	L1B
KU503390|PRRSV2-USA-LS380-2012|2012|USA|1-18-2|L1B	2012	USA		1-18-2	L1B
MN499667|11107|2012|USA|1-26-2|L1B	2012	USA		1-26-2	L1B
MN501160|13783|2012|USA|1-18-2|L1B	2012	USA		1-18-2	L1B
OR293458|USA/MI/6293-6/2012|2012|USA_MI|1-18-4|L1B	2012	USA	MI	1-18-4	L1B
KU502529|PRRSV2-USA-LS1041-2013|2013|USA|1-18-2|L1B	2013	USA		1-18-2	L1B
MN498518|11465|2013|USA|1-26-2|L1B	2013	USA		1-26-2	L1B
MN499771|11558|2013|USA|1-26-2|L1B	2013	USA		1-26-2	L1B
OR293459|USA/IA/43233/2013|2013|USA_IA|1-26-2|L1B	2013	USA	IA	1-26-2	L1B
OR293460|USA/IA/40325-70/2013|2013|USA_IA|1-19-6|L1B	2013	USA	IA	1-19-6	L1B
OR293461|USA/IA/8871-A/2014|2014|USA_IA|1-18-2|L1B	2014	USA	IA	1-18-2	L1B
KU502154|PRRSV2-USA-CB621-2015|2015|USA|1-19-2|L1B	2015	USA		1-19-2	L1B
OR293462|USA/MN/29465-42/2015|2015|USA_MN|1-26-2|L1B	2015	USA	MN	1-26-2	L1B
OR293463|USA/NE/31508-GA/2015|2015|USA_NE|1-26-2|L1B	2015	USA	NE	1-26-2	L1B
OR293464|USA/IN/78621-1/2015|2015|USA_IN|1-79-4|L1B	2015	USA	IN	1-79-4	L1B
OR293465|USA/IA/78669-A/2015|2015|USA_IA|1-18-1|L1B	2015	USA	IA	1-18-1	L1B
